iter	Logloss
0	0.689627897
1	0.6856662669
2	0.680720361
3	0.6763689619
4	0.6718141412
5	0.6680701574
6	0.6646564537
7	0.6611543605
8	0.6572953276
9	0.6536842887
10	0.6499400585
11	0.6470318074
12	0.6433123445
13	0.6399717691
14	0.6365372692
15	0.6332367784
16	0.6301810609
17	0.6273005175
18	0.6243558243
19	0.6213863051
20	0.6190636745
21	0.6160519606
22	0.6135729148
23	0.6109031824
24	0.6081209272
25	0.605668246
26	0.6029720344
27	0.6004997356
28	0.5978949671
29	0.5945482951
30	0.5923218198
31	0.5902142056
32	0.5875753823
33	0.5846648024
34	0.5826437258
35	0.5800257307
36	0.5773964873
37	0.5757171334
38	0.5739348699
39	0.5715481833
40	0.5695263127
41	0.5672512513
42	0.5649422316
43	0.5628141095
44	0.5609684987
45	0.5589561643
46	0.5575530623
47	0.5562158126
48	0.5545546454
49	0.5529584598
50	0.5511028449
51	0.5496815722
52	0.5476535516
53	0.5457973033
54	0.5438825076
55	0.5420255459
56	0.5401656712
57	0.5385802469
58	0.5369183302
59	0.5353601356
60	0.5342752192
61	0.5330616242
62	0.5316310392
63	0.5297197801
64	0.528476825
65	0.5271344756
66	0.5260842888
67	0.5247354017
68	0.523203116
69	0.522127128
70	0.5205906708
71	0.5192025924
72	0.5179366375
73	0.5167820802
74	0.5155533013
75	0.5141924256
76	0.5133522244
77	0.5123475144
78	0.5111171964
79	0.5101014743
80	0.5093452538
81	0.5083177245
82	0.5073571537
83	0.5065303236
84	0.50574358
85	0.5044697821
86	0.5033835635
87	0.5024229633
88	0.5015447738
89	0.5003276022
90	0.4994641504
91	0.4985555381
92	0.4974235103
93	0.4963871943
94	0.4951737198
95	0.4940484047
96	0.4930541042
97	0.4923373876
98	0.49101775
99	0.4901265422
100	0.4891685388
101	0.488042871
102	0.4869888469
103	0.4862474836
104	0.485605013
105	0.4849381799
106	0.4841432841
107	0.4833508776
108	0.4827295796
109	0.4820527206
110	0.4811596158
111	0.4803618086
112	0.4795655118
113	0.4787561253
114	0.477895745
115	0.477007121
116	0.4761023336
117	0.4754358573
118	0.4746545551
119	0.4739075749
120	0.4733483115
121	0.4723794769
122	0.4717937815
123	0.4708818387
124	0.4702362259
125	0.4693495772
126	0.4684695476
127	0.4676777283
128	0.4668368429
129	0.4658320949
130	0.4649010473
131	0.4643813783
132	0.4634073946
133	0.4628330901
134	0.4623186507
135	0.4617151884
136	0.4611679497
137	0.4605086806
138	0.4597200044
139	0.4592847218
140	0.458820208
141	0.4579641208
142	0.4575551959
143	0.4569329616
144	0.4564458796
145	0.4559318752
146	0.4554281562
147	0.4545975963
148	0.4540901633
149	0.4537885541
150	0.4533302295
151	0.4528984593
152	0.452210725
153	0.4515617484
154	0.4510745138
155	0.4505414189
156	0.4501899502
157	0.4497226467
158	0.4489391874
159	0.4483492312
160	0.4477166643
161	0.4473111882
162	0.446706139
163	0.4461617658
164	0.4457176014
165	0.4450715477
166	0.4445512418
167	0.4440913442
168	0.4435331697
169	0.442924636
170	0.4423444713
171	0.4418372933
172	0.440902514
173	0.4407614631
174	0.4402595231
175	0.4398365809
176	0.4394684309
177	0.4388727305
178	0.4383028488
179	0.4376067952
