iter	Passed	Remaining
0	50	50329
1	52	26199
2	54	18134
3	56	14057
4	58	11597
5	60	10005
6	62	8849
7	64	7982
8	66	7308
9	68	6763
10	70	6311
11	72	5951
12	74	5637
13	76	5371
14	78	5140
15	80	4928
16	82	4747
17	84	4583
18	85	4434
19	87	4304
20	89	4182
21	91	4071
22	93	3978
23	95	3885
24	97	3795
25	99	3719
26	101	3649
27	103	3579
28	104	3513
29	106	3452
30	108	3399
31	110	3345
32	112	3300
33	114	3255
34	116	3217
35	118	3175
36	120	3136
37	122	3101
38	124	3066
39	126	3032
40	128	3003
41	130	2971
42	132	2943
43	134	2915
44	136	2890
45	138	2865
46	139	2838
47	142	2817
48	144	2796
49	146	2775
50	147	2752
51	149	2731
52	151	2713
53	153	2693
54	155	2676
55	157	2658
56	159	2642
57	161	2624
58	163	2609
59	165	2594
60	167	2579
61	169	2565
62	171	2549
63	173	2536
64	175	2523
65	177	2510
66	179	2496
67	181	2484
68	183	2472
69	185	2460
70	187	2449
71	189	2438
72	191	2426
73	193	2416
74	195	2406
75	196	2394
76	198	2384
77	200	2373
78	202	2364
79	204	2354
80	206	2346
81	208	2336
82	210	2326
83	212	2317
84	214	2308
85	216	2300
86	218	2292
87	220	2284
88	222	2277
89	224	2270
90	226	2263
91	228	2255
92	230	2245
93	232	2237
94	234	2230
95	236	2222
96	238	2215
97	239	2208
98	242	2202
99	244	2196
100	245	2189
101	247	2182
102	249	2175
103	251	2168
104	253	2162
105	255	2154
106	257	2149
107	259	2143
108	261	2137
109	263	2131
110	265	2125
111	267	2117
112	269	2112
113	271	2107
114	273	2101
115	275	2095
116	277	2091
117	279	2086
118	281	2082
119	283	2076
120	285	2070
121	287	2066
122	288	2060
123	291	2057
124	293	2052
125	295	2047
126	297	2042
127	298	2036
128	301	2033
129	303	2028
130	305	2023
131	307	2019
132	309	2015
133	310	2009
134	312	2005
135	314	2000
136	316	1996
137	318	1992
138	320	1987
139	322	1983
140	324	1979
141	326	1975
142	328	1971
143	330	1966
144	332	1963
145	334	1959
146	336	1954
147	338	1950
148	340	1946
149	342	1942
150	344	1938
151	346	1934
152	348	1929
153	350	1926
154	352	1922
155	354	1918
156	356	1914
157	358	1910
158	360	1906
159	362	1902
160	364	1899
161	366	1895
162	368	1891
163	370	1887
164	372	1882
165	374	1879
166	376	1876
167	377	1871
168	379	1868
169	382	1865
170	384	1862
171	386	1858
172	387	1853
173	389	1848
174	391	1845
175	393	1842
176	395	1838
177	397	1835
178	399	1831
179	401	1828
180	403	1824
181	405	1821
182	407	1818
183	409	1815
184	411	1811
185	413	1807
186	414	1804
187	416	1800
188	418	1797
189	420	1794
190	422	1790
191	424	1787
192	426	1784
193	428	1781
194	430	1778
195	432	1775
196	434	1771
197	436	1768
198	438	1765
199	440	1762
200	442	1759
201	444	1756
202	446	1753
203	448	1750
204	450	1746
205	452	1743
206	454	1740
207	456	1738
208	458	1735
209	460	1732
210	462	1729
211	464	1725
212	466	1723
213	468	1720
214	470	1717
215	472	1713
216	474	1710
217	475	1707
218	477	1704
219	479	1701
220	481	1698
221	483	1695
222	485	1692
223	487	1689
224	489	1686
225	491	1683
226	493	1680
227	495	1677
228	497	1675
229	499	1672
230	501	1669
231	503	1666
232	505	1662
233	507	1659
234	509	1657
235	511	1654
236	513	1653
237	515	1650
238	517	1647
239	519	1644
240	521	1642
241	523	1639
242	525	1637
243	527	1634
244	529	1631
245	531	1628
246	533	1626
247	535	1623
248	537	1620
249	539	1618
250	541	1615
251	543	1613
252	545	1610
253	547	1608
254	549	1605
255	551	1602
256	553	1600
257	555	1597
258	557	1595
259	559	1592
260	561	1589
261	563	1587
262	565	1585
263	567	1583
264	569	1580
265	572	1578
266	574	1576
267	576	1573
268	579	1575
269	582	1573
270	584	1571
271	586	1569
272	588	1566
273	590	1564
274	592	1563
275	595	1560
276	597	1558
277	599	1555
278	600	1552
279	602	1550
280	604	1547
281	606	1545
282	608	1542
283	611	1540
284	613	1538
285	615	1535
286	617	1533
287	619	1531
288	621	1529
289	623	1526
290	625	1524
291	627	1522
292	629	1520
293	631	1517
294	633	1515
295	635	1512
296	637	1509
297	639	1507
298	642	1505
299	644	1502
300	646	1500
301	647	1497
302	649	1495
303	651	1492
304	654	1490
305	656	1488
306	658	1485
307	660	1483
308	662	1480
309	664	1478
310	666	1476
311	668	1474
312	670	1472
313	672	1469
314	674	1467
315	676	1465
316	678	1462
317	681	1460
318	683	1458
319	685	1455
320	687	1453
321	689	1451
322	691	1448
323	693	1446
324	695	1443
325	697	1441
326	699	1439
327	701	1436
328	703	1434
329	705	1432
330	707	1429
331	709	1427
332	711	1425
333	713	1422
334	715	1420
335	717	1418
336	719	1416
337	721	1413
338	723	1411
339	725	1409
340	727	1406
341	729	1404
342	732	1402
343	734	1399
344	736	1397
345	738	1395
346	740	1393
347	742	1390
348	744	1388
349	746	1386
350	748	1384
351	750	1382
352	752	1379
353	754	1377
354	757	1375
355	759	1373
356	761	1370
357	763	1368
358	765	1366
359	767	1364
360	769	1361
361	771	1359
362	773	1357
363	775	1354
364	777	1352
365	779	1350
366	781	1347
367	783	1345
368	785	1343
369	787	1340
370	789	1338
371	791	1336
372	793	1333
373	795	1331
374	797	1329
375	799	1327
