iter	Logloss
0	0.6895682746
1	0.6857969941
2	0.6825386485
3	0.6787747265
4	0.6746718724
5	0.6709793206
6	0.6672545467
7	0.6637027838
8	0.6602853188
9	0.656599261
10	0.6533197752
11	0.6505027436
12	0.6471052792
13	0.6441817366
14	0.64095331
15	0.6382940532
16	0.6358288453
17	0.6325892169
18	0.6294989427
19	0.6266729497
20	0.6243307921
21	0.6217639361
22	0.6188177273
23	0.6163667595
24	0.6139984024
25	0.6108000313
26	0.6079770604
27	0.6054170174
28	0.6036370148
29	0.6012545423
30	0.5998950573
31	0.5973232143
32	0.5949235464
33	0.5929969133
34	0.5907900951
35	0.5884905592
36	0.5860394257
37	0.5835943711
38	0.5817838303
39	0.5799141439
40	0.5782783968
41	0.5764967411
42	0.574473148
43	0.5723733071
44	0.570429095
45	0.5685548488
46	0.5669816536
47	0.565062619
48	0.5630605468
49	0.5618555881
50	0.5602336725
51	0.5586340638
52	0.5572679887
53	0.5562441075
54	0.5544758926
55	0.552505041
56	0.5513669655
57	0.5499012769
58	0.5483039697
59	0.5466036055
60	0.5452513327
61	0.5438670608
62	0.5423894889
63	0.5413239208
64	0.5401737966
65	0.5388541404
66	0.5379841735
67	0.5366528222
68	0.535243341
69	0.5339486642
70	0.5327316823
71	0.5318555511
72	0.5304391014
73	0.5292280706
74	0.5276888094
75	0.5261536414
76	0.5248058439
77	0.5240651444
78	0.5231408918
79	0.5220876202
80	0.5209776724
81	0.5201270024
82	0.5191610555
83	0.5182754585
84	0.5172953693
85	0.5163892638
86	0.5153139765
87	0.5144614233
88	0.5134939731
89	0.5125441948
90	0.5114693621
91	0.5105168205
92	0.5093958884
93	0.5082735127
94	0.5074111321
95	0.5064186409
96	0.5053272086
97	0.5044475939
98	0.5036726499
99	0.5029333875
100	0.502340263
101	0.5013445387
102	0.5004723915
103	0.4998246295
104	0.4992156145
105	0.4983291467
106	0.4975895409
107	0.4968818634
108	0.4958777861
109	0.4951527646
110	0.4943697708
111	0.4937848003
112	0.4928048389
113	0.492287323
114	0.4915306261
115	0.4907717331
116	0.4900918502
117	0.4894048774
118	0.4887948954
119	0.4881358638
120	0.4876660883
121	0.4871445204
122	0.4864401884
123	0.486032369
124	0.4856023014
125	0.4850629868
126	0.4842861324
127	0.4837412146
128	0.4832636368
129	0.4827070729
130	0.4821244563
131	0.4810142661
132	0.4803750551
133	0.4792074571
134	0.4784987162
135	0.4778420278
136	0.4772132704
137	0.4766649876
138	0.476170852
139	0.475503017
140	0.4749213752
141	0.4742966812
142	0.4735391503
143	0.4727785587
144	0.4720549591
145	0.4716262673
146	0.4711507219
147	0.4707271288
148	0.469814009
149	0.4691018883
150	0.4683528118
151	0.467775293
152	0.467224808
153	0.4668651428
154	0.4663419796
155	0.4659783672
156	0.4653238593
157	0.4649840099
158	0.4645129306
159	0.4641004639
160	0.4636682074
161	0.4633327914
162	0.4629521234
163	0.4625111498
164	0.4620821596
165	0.4617217435
166	0.4611605205
167	0.4608315675
168	0.4604922859
169	0.4600864561
170	0.4595767896
171	0.4589207727
172	0.4584968252
173	0.4580627277
174	0.4575278499
175	0.4571902252
176	0.4568192723
177	0.4563689565
178	0.4559179118
179	0.4554555938
180	0.4549922307
181	0.4546466519
182	0.4544098154
183	0.4540490245
184	0.4536566159
185	0.4532089436
186	0.4528684208
187	0.4525335682
188	0.4519514841
189	0.4516146449
190	0.4513966467
191	0.4510734865
192	0.4506451544
193	0.4502033148
194	0.4497090251
195	0.44946426
196	0.4491085589
197	0.4485200777
198	0.4481226484
199	0.4476043247
200	0.4473438082
201	0.4470752389
202	0.4465717867
203	0.4460608566
204	0.4455969407
205	0.4452363321
206	0.4449882339
207	0.4446439048
208	0.4444390967
209	0.4441908814
210	0.4438469601
211	0.4435674323
212	0.4432864749
213	0.4430200344
214	0.4428284687
215	0.4423817469
216	0.4420884569
217	0.4417942027
218	0.4414705016
219	0.4412280053
220	0.4409052655
221	0.4403793909
222	0.4400820903
223	0.4399191376
224	0.439504157
225	0.4391796309
226	0.4387881052
227	0.4385503619
228	0.4383038605
229	0.4378723215
230	0.4375411176
231	0.4369977735
232	0.4364155875
233	0.4361093258
234	0.4356212748
235	0.435353556
236	0.43517332
237	0.4347619922
238	0.4343604084
239	0.4338240484
240	0.4334876272
241	0.433128818
242	0.432802687
243	0.4325326878
244	0.4321393243
245	0.4315559707
246	0.4312348837
247	0.4308574688
248	0.4305582141
249	0.4300891013
250	0.4298263172
251	0.4295654672
252	0.4291280581
253	0.4289043411
254	0.4286870679
255	0.4284220783
256	0.4281426721
257	0.4279288026
258	0.4276732049
259	0.4274576313
260	0.4271935761
261	0.4268574088
262	0.4264534236
263	0.4262425261
264	0.4258288124
265	0.4255614749
266	0.4252960171
267	0.4248794893
268	0.4246921517
269	0.4242609798
270	0.4240259999
271	0.4235555064
272	0.4232149059
273	0.4228714874
274	0.4227197735
275	0.4224572535
276	0.4220874397
277	0.4217802142
278	0.4215437151
279	0.4212646778
280	0.4209701402
281	0.4205561562
282	0.420406229
283	0.4201456137
284	0.4197677812
285	0.4194637541
286	0.4192242685
287	0.4189950594
288	0.4188442346
289	0.4185514719
290	0.4183311768
