iter	Passed	Remaining
0	54	54584
1	60	30102
2	65	21927
3	71	17837
4	77	15434
5	82	13682
6	87	12386
7	92	11432
8	97	10695
9	102	10107
10	107	9697
11	113	9315
12	118	9021
13	124	8753
14	129	8516
15	135	8315
16	140	8139
17	146	7975
18	151	7836
19	157	7707
20	162	7592
21	168	7483
22	173	7363
23	179	7319
24	185	7219
25	191	7168
26	197	7134
27	203	7067
28	208	6982
29	213	6913
30	218	6823
31	223	6759
32	228	6695
33	233	6626
34	239	6602
35	243	6525
36	246	6414
37	250	6331
38	254	6266
39	256	6159
40	259	6061
41	261	5956
42	263	5857
43	265	5759
44	267	5668
45	269	5578
46	270	5493
47	272	5412
48	274	5334
49	276	5262
50	279	5192
51	280	5118
52	282	5054
53	285	4995
54	287	4940
55	289	4884
56	291	4827
57	294	4777
58	296	4730
59	298	4683
60	302	4651
61	304	4602
62	306	4557
63	308	4514
64	310	4473
65	313	4432
66	315	4388
67	317	4351
68	319	4310
69	321	4272
70	323	4237
71	326	4207
72	329	4183
73	331	4152
74	333	4118
75	335	4083
76	338	4051
77	340	4023
78	342	3993
79	344	3964
80	346	3931
81	348	3901
82	350	3874
83	353	3854
84	355	3828
85	357	3803
86	361	3789
87	363	3763
88	365	3737
89	367	3712
90	368	3685
91	370	3660
92	373	3637
93	375	3617
94	377	3595
95	379	3574
96	381	3553
97	383	3532
98	386	3513
99	388	3492
100	390	3472
101	392	3453
102	394	3433
103	396	3416
104	398	3399
105	400	3380
106	402	3362
107	405	3347
108	407	3331
109	410	3319
110	412	3303
111	414	3288
112	417	3275
113	419	3259
114	421	3244
115	423	3229
116	425	3212
117	427	3198
118	430	3185
119	432	3171
120	434	3156
121	436	3140
122	438	3126
123	440	3113
124	442	3099
125	444	3084
126	446	3072
127	449	3059
128	451	3047
129	453	3034
130	455	3024
131	458	3012
132	460	3001
133	462	2989
134	464	2978
135	467	2967
136	469	2957
137	471	2946
138	475	2946
139	478	2936
140	480	2928
141	483	2918
142	485	2908
143	487	2899
144	490	2889
145	492	2878
146	494	2869
147	496	2859
148	498	2849
149	501	2839
150	503	2831
151	505	2822
152	508	2814
153	510	2805
154	512	2795
155	514	2785
156	517	2777
157	519	2769
158	522	2761
159	524	2751
160	526	2742
161	529	2740
162	531	2731
163	534	2724
164	536	2715
165	538	2706
166	541	2699
167	543	2690
168	545	2683
169	548	2679
170	551	2671
171	553	2663
172	557	2665
173	559	2657
174	562	2649
175	564	2644
176	567	2636
177	569	2627
178	571	2620
179	573	2613
180	575	2605
181	578	2597
182	580	2591
183	582	2583
184	584	2575
185	586	2568
186	588	2560
187	591	2552
188	593	2545
189	595	2538
190	597	2530
191	599	2523
192	601	2515
193	603	2507
194	605	2500
195	607	2492
196	609	2485
197	611	2477
198	613	2469
199	615	2462
200	617	2455
201	619	2448
202	621	2439
203	623	2432
204	625	2424
205	627	2417
206	629	2409
207	630	2402
208	632	2395
209	634	2388
210	636	2381
211	638	2374
212	640	2367
213	642	2361
214	644	2354
215	646	2347
216	648	2340
217	650	2333
218	652	2326
219	654	2320
220	656	2313
221	658	2307
222	660	2301
223	662	2296
224	664	2289
225	666	2282
226	668	2276
227	670	2269
228	672	2263
229	674	2257
230	676	2251
231	678	2245
232	680	2239
233	682	2233
234	684	2227
235	686	2220
236	687	2214
237	689	2208
238	691	2202
239	693	2196
240	695	2191
241	697	2185
242	699	2179
243	701	2173
244	703	2167
245	705	2162
246	707	2156
247	709	2151
248	711	2146
249	713	2140
250	715	2134
251	717	2129
252	719	2123
253	721	2118
254	723	2112
255	725	2107
256	727	2101
257	729	2097
258	730	2091
259	732	2085
260	734	2079
261	736	2074
262	738	2070
263	740	2064
264	742	2059
265	744	2053
266	746	2048
267	748	2043
268	749	2038
269	751	2033
270	753	2028
271	756	2023
272	757	2018
273	759	2013
274	761	2007
275	763	2002
276	765	1997
277	767	1992
278	769	1987
279	771	1982
280	772	1977
281	774	1972
282	776	1967
283	778	1962
284	780	1958
285	782	1953
286	784	1948
287	786	1943
288	788	1939
289	790	1934
290	792	1930
291	794	1925
292	796	1920
293	798	1916
294	800	1912
295	802	1909
296	804	1904
297	806	1900
298	808	1895
299	810	1891
300	812	1886
301	814	1882
302	816	1877
303	818	1873
304	820	1869
305	822	1864
306	824	1860
307	826	1856
308	828	1852
309	830	1848
310	832	1844
311	834	1839
312	836	1835
313	839	1833
314	841	1829
315	843	1824
316	845	1820
317	847	1816
318	849	1812
319	851	1808
320	854	1807
321	856	1803
322	858	1799
323	860	1795
324	862	1791
325	864	1787
326	866	1783
327	868	1779
328	870	1775
329	872	1771
330	874	1766
331	876	1762
332	878	1758
333	879	1754
334	881	1750
335	883	1746
336	885	1742
337	888	1739
338	890	1735
339	892	1731
340	894	1728
341	896	1725
342	898	1721
343	900	1717
344	902	1713
345	904	1709
346	906	1706
347	910	1706
348	912	1702
349	914	1698
350	916	1694
351	918	1691
352	920	1687
353	922	1683
354	924	1679
355	926	1676
356	928	1672
357	930	1668
358	932	1664
359	934	1660
360	936	1657
361	938	1653
362	940	1649
363	942	1646
364	944	1642
365	946	1638
366	948	1635
367	950	1631
368	952	1628
369	954	1624
370	956	1621
371	958	1617
372	960	1613
373	962	1610
374	964	1607
375	966	1603
376	968	1600
377	970	1597
378	972	1593
379	974	1589
380	976	1586
381	978	1583
382	980	1579
383	982	1576
384	984	1572
385	986	1569
386	988	1566
387	991	1563
388	993	1560
389	995	1557
390	997	1553
391	999	1549
392	1001	1546
393	1003	1542
394	1005	1539
395	1007	1536
396	1009	1532
397	1011	1529
398	1012	1525
399	1014	1522
400	1016	1518
401	1018	1515
402	1020	1511
403	1022	1508
404	1026	1507
405	1028	1504
406	1030	1501
407	1032	1498
408	1034	1494
409	1036	1491
410	1038	1488
411	1040	1485
412	1042	1482
413	1044	1479
414	1046	1475
415	1049	1472
416	1051	1469
417	1053	1466
418	1055	1463
419	1056	1459
420	1059	1456
421	1062	1455
422	1064	1451
423	1066	1448
424	1068	1445
425	1070	1442
426	1072	1439
427	1074	1436
428	1076	1433
429	1078	1429
430	1080	1426
431	1082	1423
432	1084	1420
433	1086	1417
434	1088	1413
435	1090	1410
436	1092	1407
437	1094	1404
438	1096	1401
439	1098	1398
440	1100	1395
441	1102	1392
442	1104	1389
443	1106	1385
444	1108	1382
445	1110	1379
446	1112	1376
447	1114	1373
448	1116	1370
449	1118	1367
450	1120	1364
451	1122	1361
452	1124	1358
453	1126	1355
454	1129	1352
455	1131	1349
456	1133	1346
457	1137	1345
458	1139	1342
459	1141	1339
460	1143	1336
461	1145	1333
462	1147	1330
463	1149	1327
464	1151	1324
465	1153	1321
466	1155	1318
467	1157	1316
468	1160	1313
469	1162	1310
470	1164	1307
471	1166	1304
472	1168	1302
473	1170	1299
474	1172	1296
475	1174	1293
476	1177	1290
477	1179	1287
478	1181	1284
479	1183	1282
480	1185	1279
481	1187	1276
482	1189	1273
483	1191	1270
484	1193	1267
485	1196	1264
486	1198	1262
487	1200	1259
488	1202	1256
489	1204	1254
490	1206	1251
491	1209	1248
492	1211	1245
493	1213	1242
494	1215	1239
495	1217	1237
496	1219	1234
497	1221	1231
498	1223	1228
499	1225	1225
500	1228	1223
501	1230	1220
502	1232	1217
503	1234	1214
504	1236	1211
505	1238	1209
506	1240	1206
507	1242	1203
508	1244	1200
509	1247	1198
510	1249	1195
511	1251	1192
512	1255	1191
513	1257	1188
514	1259	1186
515	1261	1183
516	1264	1181
517	1266	1178
518	1268	1175
519	1270	1172
520	1272	1169
521	1274	1166
522	1276	1164
523	1278	1161
524	1280	1158
525	1283	1156
526	1285	1154
527	1288	1151
528	1290	1148
529	1292	1146
530	1294	1143
531	1296	1140
532	1298	1138
533	1301	1135
534	1304	1133
535	1306	1130
536	1308	1128
537	1310	1125
538	1312	1122
539	1315	1120
540	1317	1117
541	1319	1115
542	1321	1112
543	1323	1109
544	1325	1106
545	1328	1104
546	1330	1101
547	1332	1098
548	1334	1096
549	1336	1093
550	1339	1091
551	1342	1089
552	1344	1086
553	1346	1084
554	1348	1081
555	1350	1078
556	1353	1076
557	1355	1073
558	1357	1071
559	1360	1068
560	1362	1066
561	1364	1063
562	1366	1060
563	1368	1058
564	1371	1055
565	1373	1053
566	1376	1051
567	1378	1048
568	1380	1045
569	1382	1043
570	1384	1040
571	1386	1037
572	1389	1035
573	1391	1032
574	1393	1029
575	1395	1027
576	1397	1024
577	1399	1022
578	1401	1019
579	1404	1016
580	1406	1014
581	1408	1011
582	1410	1009
583	1413	1006
584	1415	1004
585	1417	1001
586	1420	999
587	1422	996
588	1424	993
589	1426	991
590	1428	988
591	1430	985
592	1433	983
593	1435	980
594	1437	978
595	1439	976
596	1441	973
597	1444	971
598	1446	968
599	1449	966
600	1451	963
601	1453	960
602	1455	958
603	1457	955
604	1460	953
605	1462	950
606	1464	948
607	1466	945
608	1469	943
609	1471	941
610	1474	938
611	1476	936
612	1479	933
613	1481	931
614	1483	928
615	1486	926
616	1490	925
617	1492	922
618	1494	919
619	1496	917
620	1498	914
621	1500	911
622	1502	909
623	1504	906
624	1506	904
625	1508	901
626	1510	898
627	1513	896
628	1515	893
629	1517	891
630	1519	888
631	1521	885
632	1523	883
633	1525	880
634	1527	878
635	1529	875
636	1531	872
637	1534	870
638	1535	867
639	1537	864
640	1539	862
641	1541	859
642	1543	856
643	1545	854
644	1547	851
645	1549	848
646	1551	846
647	1552	843
648	1555	841
649	1557	838
